,ftmap,N_classes,Bandwidth,test_error,train_error,s,geom_distance,concentration
0,rbf,10_classes,0.39,0.506896551724138,0.6023255813953489,232290.78278797347,2.153299310685208,0.04566265740346991
1,rbf,10_classes,0.79,0.506896551724138,0.6023255813953489,232290.78278797347,2.153299310685208,0.04566265740346991
2,rbf,10_classes,1.57,0.506896551724138,0.6023255813953489,232290.78278797347,2.153299310685208,0.04566265740346991
3,rbf,10_classes,3.14,0.506896551724138,0.6023255813953489,232290.78278797347,2.153299310685208,0.04566265740346991
4,rbf,10_classes,6.28,0.506896551724138,0.6023255813953489,232290.78278797347,2.153299310685208,0.04566265740346991
5,rbf,4_classes,0.39,0.8848684210526315,0.8530701754385965,68517.94045480994,2.1822932294917687,0.04826217584094648
6,rbf,4_classes,0.79,0.8848684210526315,0.8530701754385965,68517.94045480994,2.1822932294917687,0.04826217584094648
7,rbf,4_classes,1.57,0.8848684210526315,0.8530701754385965,68517.94045480994,2.1822932294917687,0.04826217584094648
8,rbf,4_classes,3.14,0.8848684210526315,0.8530701754385965,68517.94045480994,2.1822932294917687,0.04826217584094648
9,rbf,4_classes,6.28,0.8848684210526315,0.8530701754385965,68517.94045480994,2.1822932294917687,0.04826217584094648
10,ZZ_full,10_classes,0.39,0.41379310344827586,0.48372093023255813,41868.94626378896,32.23813505290117,0.05153865428934214
11,ZZ_full,10_classes,0.79,0.4,0.5302325581395348,39643.190259314826,27.512483676551476,0.030907029144701136
12,ZZ_full,10_classes,1.57,0.3758620689655172,0.6209302325581395,46483.05062251944,25.85328452357236,0.013911245895030639
13,ZZ_full,10_classes,3.14,0.23448275862068965,0.7488372093023256,51801.40335942183,28.45680304991591,0.006730937529662925
14,ZZ_full,10_classes,6.28,0.15172413793103448,0.7627906976744186,50461.8342795897,29.936795491991855,0.005610162101154768
15,ZZ_full,4_classes,0.39,0.8092105263157895,0.7872807017543859,18895.499980923258,27.13491278450553,0.05644194635851086
16,ZZ_full,4_classes,0.79,0.8092105263157895,0.8070175438596491,17534.190192672,26.148297284642048,0.033141783708718515
17,ZZ_full,4_classes,1.57,0.7763157894736842,0.8289473684210527,13960.2343759759,25.563435386238613,0.014744900417515546
18,ZZ_full,4_classes,3.14,0.6348684210526315,0.8486842105263158,18967.82546512855,27.11359742915986,0.007046165723637311
19,ZZ_full,4_classes,6.28,0.5230263157894737,0.8004385964912281,28167.80895505677,33.55497384458037,0.005410190120872631
20,ZZ_linear,10_classes,0.39,0.3758620689655172,0.45813953488372094,48968.02079397732,33.12836997519629,0.07637349884637626
21,ZZ_linear,10_classes,0.79,0.4103448275862069,0.4930232558139535,57386.300210276146,30.33823670195824,0.07000723931851908
22,ZZ_linear,10_classes,1.57,0.4,0.5558139534883721,39915.16181314308,28.223954356712568,0.02386580519536332
23,ZZ_linear,10_classes,3.14,0.2689655172413793,0.6069767441860465,46389.33724528051,34.09028307972329,0.010189505785918374
24,ZZ_linear,10_classes,6.28,0.1413793103448276,0.6,70209.31508377237,38.72921423434917,0.008475690762610694
25,ZZ_linear,4_classes,0.39,0.7960526315789473,0.7675438596491229,25081.579910165423,29.78906854452387,0.07995832595215786
26,ZZ_linear,4_classes,0.79,0.805921052631579,0.7785087719298246,23773.807996459127,29.173170446165553,0.06899748918797259
27,ZZ_linear,4_classes,1.57,0.7993421052631579,0.793859649122807,22408.389913469968,30.72846534238657,0.02386763166248436
28,ZZ_linear,4_classes,3.14,0.6085526315789473,0.7850877192982456,22998.600276595433,31.450156143705662,0.010692325435236572
29,ZZ_linear,4_classes,6.28,0.45394736842105265,0.7171052631578947,34784.16394691328,35.40361631571621,0.008409109502477955
30,Z_full,10_classes,0.39,0.33448275862068966,0.43023255813953487,98533.18515106745,47.01006306217914,0.0011016145261264485
31,Z_full,10_classes,0.79,0.38620689655172413,0.47674418604651164,71864.65959804434,36.490330801458185,0.012766317192572815
32,Z_full,10_classes,1.57,0.39655172413793105,0.49534883720930234,46342.11700048642,32.521020530539204,0.0628236665770767
33,Z_full,10_classes,3.14,0.41379310344827586,0.5511627906976744,51983.986680303955,27.282614886166343,0.04815815551604162
34,Z_full,10_classes,6.28,0.28620689655172415,0.48372093023255813,68233.34366572785,36.470770889148156,0.021521352236163818
35,Z_full,4_classes,0.39,0.756578947368421,0.7390350877192983,54633.370770482004,46.59473949755967,0.0014192196574629257
36,Z_full,4_classes,0.79,0.7828947368421053,0.7653508771929824,33101.213242250764,35.71943507679414,0.015979083823540765
37,Z_full,4_classes,1.57,0.7993421052631579,0.7982456140350878,18941.853166141693,29.196929391792896,0.07256136890934323
38,Z_full,4_classes,3.14,0.8157894736842105,0.8004385964912281,29025.435819201244,30.928843129203397,0.05106005262245007
39,Z_full,4_classes,6.28,0.5625,0.6732456140350878,39085.673067508214,38.19595531801171,0.02528532990023749
