,ftmap,K,Bandwidth,s,geom_distance,concentration,silhouette,Score_cluster,v_intra,v_inter,N_samples
0,rbf,2,0.125,11343.919806711554,1.8769119413413005,0.014040442376427596,0.5458836833748614,0.5404180067110943,0.009879740513613058,0.013530895814161883,100
1,rbf,3,0.125,11343.919806711554,1.8769119413413005,0.014040442376427596,0.46602023591247727,0.601324028133513,0.006235424419200608,0.014576830391028106,100
2,rbf,4,0.125,11343.919806711554,1.8769119413413005,0.014040442376427596,0.4995246985830636,0.6949932414884508,0.0015713794617525714,0.015932199580730964,100
3,rbf,5,0.125,11343.919806711554,1.8769119413413005,0.014040442376427596,0.38669768774517743,0.6812572579892762,0.0016251807434722522,0.015368280825965681,100
4,rbf,6,0.125,11343.919806711554,1.8769119413413005,0.014040442376427596,0.416001296752938,0.7282553714238889,0.0012816132913193575,0.014622035713792562,100
5,rbf,7,0.125,11343.919806711554,1.8769119413413005,0.014040442376427596,0.4221532225640336,0.7721604119768055,0.0006580749404895572,0.014366831026449707,100
6,rbf,8,0.125,11343.919806711554,1.8769119413413005,0.014040442376427596,0.4021569647314682,0.7752931541258914,0.0006827474813382195,0.014307003498043404,100
7,rbf,9,0.125,11343.919806711554,1.8769119413413005,0.014040442376427596,0.20751587954551115,0.7738774439370253,0.0006924755767196726,0.014308323169366888,100
8,rbf,10,0.125,11343.919806711554,1.8769119413413005,0.014040442376427596,0.149554495902581,0.7765092174352619,0.0006760272103535321,0.014291997717219215,100
9,rbf,2,0.25,11343.919806711554,1.8769119413413005,0.014040442376427596,0.5458836833748614,0.5404180067110943,0.009879740513613058,0.013530895814161883,100
10,rbf,3,0.25,11343.919806711554,1.8769119413413005,0.014040442376427596,0.46602023591247727,0.601324028133513,0.006235424419200608,0.014576830391028106,100
11,rbf,4,0.25,11343.919806711554,1.8769119413413005,0.014040442376427596,0.4995246985830636,0.6949932414884508,0.0015713794617525714,0.015932199580730964,100
