,ftmap,N_classes,Bandwidth,test_error,train_error,s,geom_distance,concentration
0,rbf,10_classes,0.39,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335
1,rbf,10_classes,0.79,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335
2,rbf,10_classes,1.57,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335
3,rbf,10_classes,3.14,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335
4,rbf,10_classes,6.28,0.42,0.6045454545454545,89726.8064543613,1.806970715732129,0.04817930079697335
5,rbf,4_classes,0.39,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625
6,rbf,4_classes,0.79,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625
7,rbf,4_classes,1.57,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625
8,rbf,4_classes,3.14,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625
9,rbf,4_classes,6.28,0.8680555555555556,0.8727272727272727,27578.672272122385,1.7923271146414121,0.04704932376652625
10,ZZ_full,10_classes,0.39,0.4066666666666667,0.4772727272727273,30313.234918752176,36.04736693081049,0.05594027638841374
11,ZZ_full,10_classes,0.79,0.41333333333333333,0.5727272727272728,26092.91158769046,31.734744814716176,0.032816297554956415
12,ZZ_full,10_classes,1.57,0.36666666666666664,0.7045454545454546,20183.53562464542,28.33770618060324,0.014389812085532274
13,ZZ_full,10_classes,3.14,0.26666666666666666,0.8681818181818182,22173.344630627987,27.940867020192524,0.006621237101695525
14,ZZ_full,10_classes,6.28,0.20666666666666667,0.8681818181818182,15809.219304861177,29.451714225504475,0.005260367869781601
15,ZZ_full,4_classes,0.39,0.8263888888888888,0.8363636363636363,13498.93216605636,23.283732191784242,0.049719701004904596
16,ZZ_full,4_classes,0.79,0.7847222222222222,0.8363636363636363,9613.863921583683,21.745131221966062,0.027375427705629826
17,ZZ_full,4_classes,1.57,0.7291666666666666,0.8454545454545455,7739.142629961314,17.262946079742964,0.011830053388783427
18,ZZ_full,4_classes,3.14,0.6111111111111112,0.8681818181818182,8118.885404928884,18.239203124528697,0.006246721556359912
19,ZZ_full,4_classes,6.28,0.3888888888888889,0.8636363636363636,10613.39508564121,21.3182973988984,0.00532429942259398
20,ZZ_linear,10_classes,0.39,0.37333333333333335,0.41818181818181815,30227.448753669705,35.504307868387066,0.07516743257129849
21,ZZ_linear,10_classes,0.79,0.41333333333333333,0.4590909090909091,29195.347874105624,31.72763868009032,0.07163797821820472
22,ZZ_linear,10_classes,1.57,0.34,0.6,22033.704345520033,31.46519978522173,0.02514678064903898
23,ZZ_linear,10_classes,3.14,0.22,0.740909090909091,21183.00315976949,28.412156113253424,0.010347391243868184
24,ZZ_linear,10_classes,6.28,0.16666666666666666,0.7363636363636363,24981.74737674458,28.348445394631174,0.009008070297465963
25,ZZ_linear,4_classes,0.39,0.8194444444444444,0.7818181818181819,20581.74622564174,23.25168611741095,0.08500879992615705
26,ZZ_linear,4_classes,0.79,0.7847222222222222,0.8090909090909091,13156.609496304885,22.366658725401333,0.056909871642820485
27,ZZ_linear,4_classes,1.57,0.7361111111111112,0.8409090909090909,8553.367711533103,22.42297436409756,0.01794543302546087
28,ZZ_linear,4_classes,3.14,0.4791666666666667,0.8363636363636363,9811.879485629934,22.63685410344984,0.008914579536319219
29,ZZ_linear,4_classes,6.28,0.4027777777777778,0.8272727272727273,15291.735740926133,26.439776494222276,0.007993170471840002
30,Z_full,10_classes,0.39,0.38666666666666666,0.39090909090909093,53798.23285486135,51.58561529252965,0.0013749346573446364
31,Z_full,10_classes,0.79,0.4,0.40454545454545454,51529.289377644105,42.21460649630337,0.015487422801437051
32,Z_full,10_classes,1.57,0.41333333333333333,0.4590909090909091,24521.007357446448,39.575250923902686,0.07095125045500097
33,Z_full,10_classes,3.14,0.41333333333333333,0.5590909090909091,32136.860893016386,36.80517860252551,0.053124766479945726
34,Z_full,10_classes,6.28,0.28,0.5136363636363637,43296.00215723564,34.48913158184672,0.02247705565440506
35,Z_full,4_classes,0.39,0.8055555555555556,0.7454545454545455,27758.28262617241,33.41939483482686,0.0018620213667624411
36,Z_full,4_classes,0.79,0.8055555555555556,0.7636363636363637,16667.098558589885,25.73383609034945,0.019432786586693687
37,Z_full,4_classes,1.57,0.8194444444444444,0.8090909090909091,12003.976481275473,22.153665013212258,0.07322452387201796
38,Z_full,4_classes,3.14,0.7986111111111112,0.8272727272727273,11453.37337721645,25.704556690405056,0.039875793755175644
39,Z_full,4_classes,6.28,0.5486111111111112,0.6954545454545454,21886.276720443042,32.091995341504585,0.022101613363425213
