,ftmap,K,Bandwidth,s,geom_distance,concentration,silhouette,Score_cluster,v_intra,v_inter,N_samples
0,rbf,2,0.125,206576.92172196376,2.5746471058129634,0.0628898795918598,0.29490229589605826,0.29717932502248623,0.0622236271009093,0.002030133377402764,1000
1,rbf,3,0.125,206576.92172196376,2.5746471058129634,0.0628898795918598,0.2914519157530966,0.29909842635989237,0.06169680380597396,0.002961719436341207,1000
2,rbf,4,0.125,206576.92172196376,2.5746471058129634,0.0628898795918598,0.29018627774705724,0.2988478551343915,0.0616980128520275,0.0030983824083827115,1000
3,rbf,5,0.125,206576.92172196376,2.5746471058129634,0.0628898795918598,0.28682581239749577,0.29813709178687164,0.061760688580652735,0.0030044296126515253,1000
4,rbf,6,0.125,206576.92172196376,2.5746471058129634,0.0628898795918598,0.2864647148262812,0.2981115230365857,0.06176084508740014,0.003019712700105532,1000
5,rbf,7,0.125,206576.92172196376,2.5746471058129634,0.0628898795918598,0.2801213801889518,0.2981706597419854,0.061667224840728965,0.0035514829157420355,1000
6,rbf,8,0.125,206576.92172196376,2.5746471058129634,0.0628898795918598,0.23024378643262394,0.26909535871875123,0.06188669331473447,0.025344025336841526,1000
7,rbf,9,0.125,206576.92172196376,2.5746471058129634,0.0628898795918598,0.23219427977133766,0.29051594856857366,0.06068509139848131,0.026692434303425515,1000
8,rbf,10,0.125,206576.92172196376,2.5746471058129634,0.0628898795918598,0.21917767757557371,0.3065915015737546,0.05803329964610531,0.025168030099470374,1000
9,rbf,2,0.25,206576.92172196376,2.5746471058129634,0.0628898795918598,0.29490229589605826,0.29717932502248623,0.0622236271009093,0.002030133377402764,1000
10,rbf,3,0.25,206576.92172196376,2.5746471058129634,0.0628898795918598,0.2914519157530966,0.29909842635989237,0.06169680380597396,0.002961719436341207,1000
11,rbf,4,0.25,206576.92172196376,2.5746471058129634,0.0628898795918598,0.29018627774705724,0.2988478551343915,0.0616980128520275,0.0030983824083827115,1000
12,rbf,5,0.25,206576.92172196376,2.5746471058129634,0.0628898795918598,0.28682581239749577,0.29813709178687164,0.061760688580652735,0.0030044296126515253,1000
13,rbf,6,0.25,206576.92172196376,2.5746471058129634,0.0628898795918598,0.2864647148262812,0.2981115230365857,0.06176084508740014,0.003019712700105532,1000
14,rbf,7,0.25,206576.92172196376,2.5746471058129634,0.0628898795918598,0.2801213801889518,0.2981706597419854,0.061667224840728965,0.0035514829157420355,1000
15,rbf,8,0.25,206576.92172196376,2.5746471058129634,0.0628898795918598,0.23024378643262394,0.26909535871875123,0.06188669331473447,0.025344025336841526,1000
16,rbf,9,0.25,206576.92172196376,2.5746471058129634,0.0628898795918598,0.23219427977133766,0.29051594856857366,0.06068509139848131,0.026692434303425515,1000
17,rbf,10,0.25,206576.92172196376,2.5746471058129634,0.0628898795918598,0.21917767757557371,0.3065915015737546,0.05803329964610531,0.025168030099470374,1000
18,rbf,2,0.5,206576.92172196376,2.5746471058129634,0.0628898795918598,0.29490229589605826,0.29717932502248623,0.0622236271009093,0.002030133377402764,1000
19,rbf,3,0.5,206576.92172196376,2.5746471058129634,0.0628898795918598,0.2914519157530966,0.29909842635989237,0.06169680380597396,0.002961719436341207,1000
20,rbf,4,0.5,206576.92172196376,2.5746471058129634,0.0628898795918598,0.29018627774705724,0.2988478551343915,0.0616980128520275,0.0030983824083827115,1000
21,rbf,5,0.5,206576.92172196376,2.5746471058129634,0.0628898795918598,0.28682581239749577,0.29813709178687164,0.061760688580652735,0.0030044296126515253,1000
22,rbf,6,0.5,206576.92172196376,2.5746471058129634,0.0628898795918598,0.2864647148262812,0.2981115230365857,0.06176084508740014,0.003019712700105532,1000
23,rbf,7,0.5,206576.92172196376,2.5746471058129634,0.0628898795918598,0.2801213801889518,0.2981706597419854,0.061667224840728965,0.0035514829157420355,1000
24,rbf,8,0.5,206576.92172196376,2.5746471058129634,0.0628898795918598,0.23024378643262394,0.26909535871875123,0.06188669331473447,0.025344025336841526,1000
25,rbf,9,0.5,206576.92172196376,2.5746471058129634,0.0628898795918598,0.23219427977133766,0.29051594856857366,0.06068509139848131,0.026692434303425515,1000
26,rbf,10,0.5,206576.92172196376,2.5746471058129634,0.0628898795918598,0.21917767757557371,0.3065915015737546,0.05803329964610531,0.025168030099470374,1000
27,rbf,2,1.0,206576.92172196376,2.5746471058129634,0.0628898795918598,0.29490229589605826,0.29717932502248623,0.0622236271009093,0.002030133377402764,1000
28,rbf,3,1.0,206576.92172196376,2.5746471058129634,0.0628898795918598,0.2914519157530966,0.29909842635989237,0.06169680380597396,0.002961719436341207,1000
29,rbf,4,1.0,206576.92172196376,2.5746471058129634,0.0628898795918598,0.29018627774705724,0.2988478551343915,0.0616980128520275,0.0030983824083827115,1000
30,rbf,5,1.0,206576.92172196376,2.5746471058129634,0.0628898795918598,0.28682581239749577,0.29813709178687164,0.061760688580652735,0.0030044296126515253,1000
31,rbf,6,1.0,206576.92172196376,2.5746471058129634,0.0628898795918598,0.2864647148262812,0.2981115230365857,0.06176084508740014,0.003019712700105532,1000
32,rbf,7,1.0,206576.92172196376,2.5746471058129634,0.0628898795918598,0.2801213801889518,0.2981706597419854,0.061667224840728965,0.0035514829157420355,1000
33,rbf,8,1.0,206576.92172196376,2.5746471058129634,0.0628898795918598,0.23024378643262394,0.26909535871875123,0.06188669331473447,0.025344025336841526,1000
