,ftmap,K,Bandwidth,s,geom_distance,concentration,silhouette,Score_cluster,v_intra,v_inter,N_samples
0,rbf,2,0.125,30090.73759274395,1.6494699232226686,0.06333030046668785,0.30719792395727197,0.3068839824320455,0.06224412109457642,8.61367593404e-05,100
1,rbf,3,0.125,30090.73759274395,1.6494699232226686,0.06333030046668785,0.2798435978631989,0.2881578142118584,0.06186726535424428,0.03491952394253805,100
2,rbf,4,0.125,30090.73759274395,1.6494699232226686,0.06333030046668785,0.29260292479887,0.36043555964754037,0.057666569239872546,0.039963374426768755,100
3,rbf,5,0.125,30090.73759274395,1.6494699232226686,0.06333030046668785,0.25326600007235117,0.35532490866511623,0.0583931273210271,0.0388145816156286,100
4,rbf,6,0.125,30090.73759274395,1.6494699232226686,0.06333030046668785,0.3115004680122424,0.44093113353541546,0.05115794002048557,0.04007596978369756,100
5,rbf,7,0.125,30090.73759274395,1.6494699232226686,0.06333030046668785,0.3119978935260866,0.467955649225278,0.04562909151831396,0.04053968179432303,100
6,rbf,8,0.125,30090.73759274395,1.6494699232226686,0.06333030046668785,0.26352452102969864,0.402475102371476,0.05669554110659681,0.037476821268109715,100
7,rbf,9,0.125,30090.73759274395,1.6494699232226686,0.06333030046668785,0.34471393097189656,0.5299502596140142,0.036792593727816285,0.04162195744866208,100
8,rbf,10,0.125,30090.73759274395,1.6494699232226686,0.06333030046668785,0.32904764285098925,0.5308510497995678,0.038280495829367975,0.042018590201117416,100
9,rbf,2,0.25,30090.73759274395,1.6494699232226686,0.06333030046668785,0.30719792395727197,0.3068839824320455,0.06224412109457642,8.61367593404e-05,100
10,rbf,3,0.25,30090.73759274395,1.6494699232226686,0.06333030046668785,0.2798435978631989,0.2881578142118584,0.06186726535424428,0.03491952394253805,100
11,rbf,4,0.25,30090.73759274395,1.6494699232226686,0.06333030046668785,0.29260292479887,0.36043555964754037,0.057666569239872546,0.039963374426768755,100
12,rbf,5,0.25,30090.73759274395,1.6494699232226686,0.06333030046668785,0.25326600007235117,0.35532490866511623,0.0583931273210271,0.0388145816156286,100
13,rbf,6,0.25,30090.73759274395,1.6494699232226686,0.06333030046668785,0.3115004680122424,0.44093113353541546,0.05115794002048557,0.04007596978369756,100
14,rbf,7,0.25,30090.73759274395,1.6494699232226686,0.06333030046668785,0.3119978935260866,0.467955649225278,0.04562909151831396,0.04053968179432303,100
15,rbf,8,0.25,30090.73759274395,1.6494699232226686,0.06333030046668785,0.26352452102969864,0.402475102371476,0.05669554110659681,0.037476821268109715,100
16,rbf,9,0.25,30090.73759274395,1.6494699232226686,0.06333030046668785,0.34471393097189656,0.5299502596140142,0.036792593727816285,0.04162195744866208,100
17,rbf,10,0.25,30090.73759274395,1.6494699232226686,0.06333030046668785,0.32904764285098925,0.5308510497995678,0.038280495829367975,0.042018590201117416,100
18,rbf,2,0.5,30090.73759274395,1.6494699232226686,0.06333030046668785,0.30719792395727197,0.3068839824320455,0.06224412109457642,8.61367593404e-05,100
19,rbf,3,0.5,30090.73759274395,1.6494699232226686,0.06333030046668785,0.2798435978631989,0.2881578142118584,0.06186726535424428,0.03491952394253805,100
20,rbf,4,0.5,30090.73759274395,1.6494699232226686,0.06333030046668785,0.29260292479887,0.36043555964754037,0.057666569239872546,0.039963374426768755,100
21,rbf,5,0.5,30090.73759274395,1.6494699232226686,0.06333030046668785,0.25326600007235117,0.35532490866511623,0.0583931273210271,0.0388145816156286,100
22,rbf,6,0.5,30090.73759274395,1.6494699232226686,0.06333030046668785,0.3115004680122424,0.44093113353541546,0.05115794002048557,0.04007596978369756,100
