,Cluster_rbf_2_0.125,Cluster_rbf_3_0.125,Cluster_rbf_4_0.125,Cluster_rbf_5_0.125,Cluster_rbf_6_0.125,Cluster_rbf_7_0.125,Cluster_rbf_8_0.125,Cluster_rbf_9_0.125,Cluster_rbf_10_0.125,Cluster_rbf_2_0.25,Cluster_rbf_3_0.25,Cluster_rbf_4_0.25,Cluster_rbf_5_0.25,Cluster_rbf_6_0.25,Cluster_rbf_7_0.25,Cluster_rbf_8_0.25,Cluster_rbf_9_0.25,Cluster_rbf_10_0.25,Cluster_rbf_2_0.5,Cluster_rbf_3_0.5,Cluster_rbf_4_0.5,Cluster_rbf_5_0.5,Cluster_rbf_6_0.5,Cluster_rbf_7_0.5,Cluster_rbf_8_0.5,Cluster_rbf_9_0.5,Cluster_rbf_10_0.5,Cluster_rbf_2_1,Cluster_rbf_3_1,Cluster_rbf_4_1,Cluster_rbf_5_1,Cluster_rbf_6_1,Cluster_rbf_7_1,Cluster_rbf_8_1,Cluster_rbf_9_1,Cluster_rbf_10_1,Cluster_rbf_2_2,Cluster_rbf_3_2,Cluster_rbf_4_2,Cluster_rbf_5_2,Cluster_rbf_6_2,Cluster_rbf_7_2,Cluster_rbf_8_2,Cluster_rbf_9_2,Cluster_rbf_10_2,Cluster_ZZ_linear_2_0.125,Cluster_ZZ_linear_3_0.125,Cluster_ZZ_linear_4_0.125,Cluster_ZZ_linear_5_0.125,Cluster_ZZ_linear_6_0.125,Cluster_ZZ_linear_7_0.125,Cluster_ZZ_linear_8_0.125,Cluster_ZZ_linear_9_0.125,Cluster_ZZ_linear_10_0.125,Cluster_ZZ_linear_2_0.25,Cluster_ZZ_linear_3_0.25,Cluster_ZZ_linear_4_0.25,Cluster_ZZ_linear_5_0.25,Cluster_ZZ_linear_6_0.25,Cluster_ZZ_linear_7_0.25,Cluster_ZZ_linear_8_0.25,Cluster_ZZ_linear_9_0.25,Cluster_ZZ_linear_10_0.25,Cluster_ZZ_linear_2_0.5,Cluster_ZZ_linear_3_0.5,Cluster_ZZ_linear_4_0.5,Cluster_ZZ_linear_5_0.5,Cluster_ZZ_linear_6_0.5,Cluster_ZZ_linear_7_0.5,Cluster_ZZ_linear_8_0.5,Cluster_ZZ_linear_9_0.5,Cluster_ZZ_linear_10_0.5,Cluster_ZZ_linear_2_1,Cluster_ZZ_linear_3_1,Cluster_ZZ_linear_4_1,Cluster_ZZ_linear_5_1,Cluster_ZZ_linear_6_1,Cluster_ZZ_linear_7_1,Cluster_ZZ_linear_8_1,Cluster_ZZ_linear_9_1,Cluster_ZZ_linear_10_1,Cluster_ZZ_linear_2_2,Cluster_ZZ_linear_3_2,Cluster_ZZ_linear_4_2,Cluster_ZZ_linear_5_2,Cluster_ZZ_linear_6_2,Cluster_ZZ_linear_7_2,Cluster_ZZ_linear_8_2,Cluster_ZZ_linear_9_2,Cluster_ZZ_linear_10_2
305,0,0,1,4,5,0,7,6,8,0,0,1,4,5,0,7,6,8,0,0,1,4,5,0,7,6,8,0,0,1,4,5,0,7,6,8,0,0,1,4,5,0,7,6,8,0,0,0,1,4,1,0,0,6,1,1,3,3,5,6,0,1,5,1,1,3,3,2,6,1,4,2,1,1,3,0,5,1,0,2,2,0,2,2,2,0,6,5,4,6
1040,0,2,1,3,5,0,7,6,8,0,2,1,3,5,0,7,6,8,0,2,1,3,5,0,7,6,8,0,2,1,3,5,0,7,6,8,0,2,1,3,5,0,7,6,8,0,0,0,1,4,1,0,0,6,1,1,3,3,5,6,0,1,5,1,1,3,3,2,6,1,4,2,1,1,3,4,3,2,4,2,3,0,2,2,0,1,6,5,4,6
579,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,1,4,2,4,1,3,4,0,0,0,0,0,4,5,4,1,0,2,1,1,0,2,7,0,6,0,0,1,1,0,5,2,5,8,0,2,2,0,1,0,4,5,4
926,0,0,1,4,0,5,5,5,0,0,0,1,4,0,5,5,5,0,0,0,1,4,0,5,5,5,0,0,0,1,4,0,5,5,5,0,0,0,1,4,0,5,5,5,0,0,0,0,1,4,2,4,1,3,0,2,1,1,3,2,4,2,9,0,2,1,1,0,2,7,0,3,0,2,1,1,0,5,2,5,8,1,1,1,0,1,0,4,5,0
70,0,0,0,3,3,1,0,7,5,0,0,0,3,3,1,0,7,5,0,0,0,3,3,1,0,7,5,0,0,0,3,3,1,0,7,5,0,0,0,3,3,1,0,7,5,1,1,3,1,0,0,2,6,5,1,1,2,4,2,5,6,5,3,1,1,2,2,3,1,4,3,5,1,1,3,0,5,1,0,8,2,0,2,3,2,0,1,2,2,2
128,0,0,0,3,3,1,0,7,5,0,0,0,3,3,1,0,7,5,0,0,0,3,3,1,0,7,5,0,0,0,3,3,1,0,7,5,0,0,0,3,3,1,0,7,5,1,1,3,1,0,0,2,6,5,1,1,2,4,2,5,6,5,3,1,1,2,2,3,1,4,3,5,1,1,3,0,5,1,0,8,2,0,2,2,2,0,1,3,2,5
1546,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,1,4,1,6,4,1,1,0,0,0,0,0,4,5,0,8,0,2,1,1,0,3,3,8,8,1,2,2,4,1,4,4,1,6,0,2,2,0,1,6,5,4,4
1942,0,0,0,1,0,5,4,5,0,0,0,0,1,0,5,4,5,0,0,0,0,1,0,5,4,5,0,0,0,0,1,0,5,4,5,0,0,0,0,1,0,5,4,5,0,0,0,2,3,1,6,4,1,1,0,2,1,2,1,0,2,2,4,0,2,1,1,5,0,6,2,7,0,0,1,1,3,2,6,3,1,1,1,1,3,2,4,2,6,3
1211,0,2,3,0,5,0,5,5,0,0,2,3,0,5,0,5,5,0,0,2,3,0,5,0,5,5,0,0,2,3,0,5,0,5,5,0,0,2,3,0,5,0,5,5,0,0,0,0,1,4,1,0,0,6,0,2,3,3,5,6,0,1,5,0,0,3,3,2,3,7,8,3,1,1,3,4,5,2,4,0,6,0,0,2,2,0,2,3,2,1
1380,0,0,1,1,0,5,4,8,2,0,0,1,1,0,5,4,8,2,0,0,1,1,0,5,4,8,2,0,0,1,1,0,5,4,8,2,0,0,1,1,0,5,4,8,2,0,0,2,3,3,5,7,5,3,0,2,1,2,1,0,3,6,7,0,0,0,0,1,4,0,7,9,0,0,0,3,3,6,5,7,5,1,0,1,3,3,4,0,1,2
936,0,0,0,1,2,3,3,0,9,0,0,0,1,2,3,3,0,9,0,0,0,1,2,3,3,0,9,0,0,0,1,2,3,3,0,9,0,0,0,1,2,3,3,0,9,0,0,2,0,5,2,3,7,0,0,0,0,0,0,4,5,7,1,0,0,0,0,1,4,0,1,0,0,2,2,3,3,0,5,0,5,0,2,2,1,3,5,5,1,4
1972,0,2,3,3,5,0,5,5,0,0,2,3,3,5,0,5,5,0,0,2,3,3,5,0,5,5,0,0,2,3,3,5,0,5,5,0,0,2,3,3,5,0,5,5,0,0,0,0,1,4,1,0,0,6,0,2,3,3,5,6,0,1,5,0,2,1,1,2,3,7,8,3,0,2,2,4,1,4,4,1,6,0,2,2,2,0,2,5,2,5
1274,0,0,0,1,2,3,5,5,0,0,0,0,1,2,3,5,5,0,0,0,0,1,2,3,5,5,0,0,0,0,1,2,3,5,5,0,0,0,0,1,2,3,5,5,0,0,0,2,3,1,6,4,1,1,0,2,1,2,1,0,2,2,4,0,0,0,1,5,0,6,2,7,0,0,1,1,3,3,1,7,9,0,0,3,4,5,3,1,3,7
1170,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,1,4,2,4,1,3,4,0,0,0,0,0,4,5,4,1,0,2,1,1,0,2,7,0,6,0,0,1,1,0,5,2,5,1,0,2,2,0,1,6,5,4,6
307,0,0,0,1,2,3,4,8,2,0,0,0,1,2,3,4,8,2,0,0,0,1,2,3,4,8,2,0,0,0,1,2,3,4,8,2,0,0,0,1,2,3,4,8,2,0,0,2,3,5,2,3,5,3,0,2,1,2,4,1,7,7,4,0,0,0,0,5,0,6,2,7,0,0,0,3,3,3,1,7,9,1,0,1,3,2,4,0,1,2
1280,0,2,1,4,0,5,5,5,7,0,2,1,4,0,5,5,5,7,0,2,1,4,0,5,5,5,7,0,2,1,4,0,5,5,5,7,0,2,1,4,0,5,5,5,7,0,2,1,3,3,5,7,5,1,0,2,1,2,1,0,3,6,7,0,0,0,0,1,4,0,1,0,0,0,1,1,3,2,3,6,5,0,2,3,0,5,3,1,3,7
1786,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,3,0,4,6,6,2,3,0,2,1,4,1,6,4,1,1,1,0,0,0,0,4,5,0,8,1,2,1,1,5,3,3,8,8,1,1,3,4,1,4,3,6,6,0,2,3,4,5,3,1,3,7
1181,0,0,1,4,0,5,4,3,4,0,0,1,4,0,5,4,3,4,0,0,1,4,0,5,4,3,4,0,0,1,4,0,5,4,3,4,0,0,1,4,0,5,4,3,4,0,0,0,3,1,6,4,2,7,0,2,1,2,3,2,4,8,0,0,2,1,1,2,2,2,6,1,1,1,3,4,4,2,3,6,3,1,1,1,3,2,5,7,6,8
1623,0,0,0,1,2,3,3,0,9,0,0,0,1,2,3,3,0,9,0,0,0,1,2,3,3,0,9,0,0,0,1,2,3,3,0,9,0,0,0,1,2,3,3,0,9,0,0,2,0,5,2,3,7,0,0,0,0,0,0,4,5,4,1,0,2,1,1,0,3,7,0,3,0,0,1,1,0,5,2,5,8,0,1,1,0,1,0,4,5,0
942,0,0,0,1,2,3,5,5,9,0,0,0,1,2,3,5,5,9,0,0,0,1,2,3,5,5,9,0,0,0,1,2,3,5,5,9,0,0,0,1,2,3,5,5,9,0,0,2,0,5,2,3,7,0,0,0,0,0,0,4,5,4,4,0,2,1,1,0,2,7,0,3,0,2,2,4,1,4,4,1,1,0,0,0,2,0,1,3,2,5
