,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-0521,4.322473,3.5036647,9.949113,1.9624674,3
MB-5549,4.247674,1.8082768,9.030637,2.8386602,1
MB-4832,3.8914468,4.4484057,8.623909,3.5366201,3
MB-2970,3.0145304,3.6773067,10.311888,2.2167604,4
MB-3459,4.511995,3.631229,8.994056,1.9609469,7
MB-5393,4.920419,4.5699687,8.330419,4.9189105,7
MB-0229,5.471042,4.079242,9.459628,2.8741107,7
MB-5163,4.7737937,4.714752,8.612979,4.3978915,3
MB-3854,4.133425,3.9043543,9.123175,4.122731,3
MB-3871,4.031064,5.082853,9.483333,2.1918159,8
MB-2819,3.4192388,4.5419674,9.761458,2.453941,7
MB-0593,4.770812,3.1921787,9.998121,2.5875194,5
MB-7288,3.760163,4.987106,9.410361,1.9763366,8
MB-0101,4.2926326,5.5099373,9.258854,2.683219,8
MB-0079,4.315965,8.738928,6.161559,-0.41879994,10
MB-7254,3.9745812,5.3793545,9.279077,2.4724452,8
MB-0554,4.256767,5.084415,9.078037,2.152977,8
MB-5421,3.345137,0.6787215,9.02617,3.2670443,10
MB-7055,3.8513415,4.1449695,9.592801,3.9465668,10
MB-4839,5.0784497,5.0512896,10.10942,3.7524974,3
MB-4893,3.8962152,0.9530617,9.208347,3.0287933,10
MB-5603,4.0752797,3.3039174,8.687056,3.3271217,2
MB-0218,4.922104,4.276728,9.182252,2.1575184,1
MB-0431,4.6356053,4.475501,9.727819,2.3673253,3
MB-4593,4.198979,4.6882706,7.751367,5.024097,8
MB-0365,4.2800417,1.4335892,9.714612,2.4476945,4
MB-5231,4.281024,3.771966,8.948522,4.208293,5
MB-6237,3.47579,0.99844706,9.485298,3.213198,10
MB-5605,3.8542776,4.3313193,9.004992,2.8695695,3
MB-3357,3.7334192,5.032923,8.821594,2.5035036,9
MB-5008,4.3862367,3.2075484,8.624251,4.202699,10
MB-7170,3.375569,3.943844,9.920888,2.9736772,4
MB-5655,3.061812,0.61208236,9.111857,3.2221415,10
MB-0204,4.7979493,3.7680798,10.067097,2.1211696,3
MB-3389,5.19226,3.9112632,8.185376,3.0848758,6
MB-4851,5.242299,4.559619,9.090197,3.648992,2
MB-0100,3.8516045,1.2529737,9.588289,3.1305928,10
MB-0328,4.4815497,4.930149,8.447468,2.6737328,9
MB-0656,3.879583,1.3278755,9.531786,2.974061,5
MB-7299,4.3914948,3.8277726,9.514409,1.8466583,10
MB-4529,4.0128574,4.277166,8.7375145,4.05172,3
MB-5253,4.026968,4.5738726,8.399272,4.257177,3
MB-6014,4.2695446,2.8861043,10.382604,3.129046,4
MB-7075,5.5061436,4.1867676,8.825585,3.312112,1
MB-2904,3.4838874,1.0155581,9.379594,2.7450936,10
MB-0152,3.9309182,2.3211205,9.825887,3.2132368,4
MB-3437,5.303291,5.468161,10.601272,3.6361518,4
MB-2820,4.196105,3.954785,9.423045,3.6675766,3
MB-5078,4.191547,5.047422,8.257474,3.8200574,5
MB-3067,3.7384803,0.7934461,9.140867,2.7909808,9
MB-0162,5.465772,3.9295778,9.562324,3.082335,7
MB-0534,4.6756315,2.5469244,10.710524,3.3547854,4
MB-4737,5.3365984,4.302817,9.337551,3.0742738,1
MB-2616,3.6351361,3.7134192,10.243526,1.9869661,4
MB-0366,3.9081187,5.555918,8.832141,2.9219403,8
MB-5434,4.913562,4.4113092,8.930113,4.5627556,9
MB-5467,4.718456,2.7538924,9.935392,3.997728,7
MB-5427,3.2846684,1.0232965,9.454053,3.3451664,9
MB-4353,4.0296445,4.827398,8.065188,4.5266924,8
MB-7267,3.3615959,0.5031805,9.090061,3.081492,10
MB-0517,5.706159,3.3782163,9.245362,2.6591723,9
MB-0243,4.2746224,5.3551984,9.230563,2.5058331,8
MB-3614,4.1718144,3.7467875,9.486227,2.4645038,1
MB-4858,3.9574335,4.1409473,9.150834,3.4885728,5
MB-3429,4.1131797,2.6760702,10.655429,2.8914437,4
MB-5315,4.1267114,1.122321,9.039529,3.2330666,4
MB-4640,5.2548013,4.046612,9.095959,3.8842227,7
MB-2708,4.1784205,4.3983674,9.961891,1.9994782,7
MB-2993,3.20496,1.1395911,9.659006,2.6678057,10
MB-4323,4.118203,4.8155346,7.9918694,4.7676463,8
MB-4871,4.2952547,1.9136416,9.706284,2.4890156,5
MB-7199,5.016407,5.3854766,10.232794,3.302835,8
MB-4797,4.416062,4.1299047,9.477443,3.316034,2
MB-4416,4.2756443,3.536387,7.871084,5.138755,4
MB-0310,4.3194776,5.0826354,9.16927,2.3919642,3
MB-3452,3.2641637,3.3007276,10.263108,2.3541875,2
MB-4825,3.9052474,4.9308457,8.636981,3.6597736,8
MB-5585,3.7340527,4.1699877,8.819999,3.2831678,8
MB-4281,4.6061683,4.233124,7.8271394,3.8512554,9
MB-6239,4.3045535,5.317816,8.362403,3.5894217,8
MB-5054,4.083229,1.6214602,8.93106,3.0723848,5
MB-5377,4.842681,4.972117,8.698886,3.411747,8
MB-0135,5.495289,4.1965027,9.617524,2.5416453,2
MB-7009,3.1360412,1.24777,9.649757,2.6414807,10
MB-4033,4.469118,2.9745903,9.541813,3.4384902,4
MB-0247,4.6114492,3.6528146,9.472979,1.7745779,4
MB-7132,5.6363535,4.6128345,9.448857,3.4627488,7
MB-5206,4.899887,3.1311998,9.96449,3.8940167,2
MB-0627,4.178623,1.3459867,9.853156,2.430389,4
MB-7150,3.4041853,3.8072782,9.838709,2.7473738,3
MB-5553,5.119828,3.4842873,9.782779,3.544972,2
MB-0361,4.510836,4.764231,8.858438,2.170253,5
MB-0462,4.335916,1.6662588,9.040952,2.8402872,5
MB-0876,4.1866956,1.4269278,10.4956665,2.320581,4
MB-7147,3.3661084,3.8343546,10.258527,2.7763839,6
MB-7160,4.5127025,4.28696,7.8719406,3.7830837,9
MB-7024,4.457997,4.017346,8.974583,1.8403412,1
MB-0578,4.623964,2.6275587,10.6429205,3.3443558,4
MB-4869,4.289985,5.070722,8.07321,4.510826,8
MB-4982,4.4069657,2.5680423,9.226578,4.1984305,4
MB-2901,3.3134246,4.479219,9.909453,2.4540074,8
MB-6337,4.073373,2.9391944,8.54694,4.028707,5
MB-6242,3.3967638,0.536321,9.027174,3.2767262,10
MB-6146,5.218213,2.9940257,8.915688,2.9488187,4
MB-7171,4.1334476,3.998209,9.239376,3.9354675,9
MB-4701,3.9099076,5.552951,8.546325,3.3801756,8
MB-6080,4.4920745,0.91254866,9.068146,3.1155598,4
MB-4978,4.32866,4.1027474,8.87095,4.6533346,3
MB-7101,3.9455311,4.580625,8.912118,3.2987328,3
MB-4742,4.571381,5.237789,8.818995,3.7404182,8
MB-5157,4.450834,2.2517853,9.206879,3.8319056,4
MB-0356,4.2535453,5.2080965,9.204802,2.1730163,8
MB-5100,3.667037,0.895316,9.085104,2.9552083,10
MB-2896,3.2390919,3.4977372,10.436021,2.174593,4
MB-4289,4.3749733,4.528871,7.434282,5.4339247,2
MB-5392,4.013893,1.9425715,9.463902,2.8255546,4
MB-6226,4.3126335,5.3427763,8.713264,2.5644226,8
MB-4691,4.8598056,4.138373,7.7669024,4.638155,7
MB-0095,5.034433,5.1078568,9.246349,3.6842659,8
MB-5277,4.0738854,5.0333223,8.217431,3.9812794,8
MB-5346,3.1134245,0.7705517,9.1603155,2.7213345,10
MB-4908,4.2104115,4.3675504,9.047441,3.0975642,5
MB-5211,5.6409354,4.223505,8.679064,3.3470814,7
MB-7057,4.105041,3.9475136,10.014299,3.7322268,4
MB-5540,4.4824495,4.1921105,8.360267,2.3724053,1
MB-0184,5.338726,5.542305,10.649404,3.5960248,4
MB-2932,5.6429906,4.263147,8.731786,3.2896569,2
MB-5328,5.356638,4.066401,9.272023,3.8760662,1
MB-4836,4.3014703,4.4232793,7.718647,5.212029,4
MB-6344,4.831141,4.8063188,8.577931,2.8927383,1
MB-7017,3.2532842,0.82033163,9.503088,2.7092433,10
MB-6231,4.3220663,4.1291313,7.877832,5.2141786,3
MB-0281,4.600868,2.5582225,10.725597,3.2668307,4
MB-0516,3.3862402,0.8595263,9.420747,3.076902,10
MB-0906,4.2946987,1.5888913,9.139714,3.2815409,4
MB-5072,3.9814496,2.3929462,9.903961,3.5296602,4
MB-0325,4.32498,4.0375724,9.16485,3.1171465,10
MB-7174,4.795853,3.113582,9.03238,2.645056,6
MB-6256,5.22842,5.3866987,10.409398,3.6101053,3
MB-0527,4.873728,2.5639904,10.551394,3.0742474,4
MB-0885,4.544111,2.4521985,10.673916,3.0147536,4
MB-3033,3.7611864,4.9056582,9.734943,2.205727,3
MB-5049,4.899812,4.591003,8.031546,3.3372302,8
MB-0512,4.390951,4.4939656,8.730823,2.0499802,9
MB-2922,3.2113378,3.7055345,9.729942,2.543736,1
MB-4418,4.462257,4.3771696,7.5494695,5.3829255,8
MB-2916,4.056244,4.748089,9.460421,1.8608013,3
MB-4653,4.5667915,3.0692458,9.824656,3.9920511,3
MB-0569,4.4945483,3.3477468,9.389565,2.1612391,4
MB-7264,4.4026804,2.825621,8.83163,3.920195,4
MB-5433,5.8320394,3.6161366,8.316248,3.3385866,7
MB-7162,4.5475745,4.613986,9.609879,3.5936115,3
MB-7076,5.2575407,5.2565823,10.299012,3.6952887,7
MB-0609,4.516422,3.9759128,9.103036,3.4592783,8
MB-0528,5.399692,3.4754655,9.552153,2.258452,2
MB-7086,5.0908966,3.8385718,8.93195,1.9624928,9
MB-0146,4.872387,4.599104,8.66024,2.2546318,1
MB-5640,5.299567,5.0880933,10.483588,3.858822,4
MB-0653,4.4712706,4.8037095,8.561393,2.3284223,9
MB-0426,4.3355217,4.422996,9.596894,1.7430485,3
MB-3866,4.2003436,3.924679,9.50446,1.8541588,5
MB-0158,4.2197275,2.268519,9.436995,2.8162634,10
MB-4189,4.41402,3.816563,7.5990963,5.3837123,2
MB-0660,5.2516174,3.6285374,9.735588,2.202793,10
MB-7130,5.160419,4.437776,8.173394,3.2079601,9
MB-3488,3.1729972,3.5382752,9.864788,2.5237603,5
MB-0206,3.785185,0.88094926,9.197986,2.7438304,10
MB-5399,4.590291,4.6439676,8.832003,4.0879526,3
MB-7115,3.9670997,5.38482,9.381214,3.2754843,5
MB-5117,4.085007,5.509009,8.405737,3.5255904,8
MB-7230,3.5867672,4.3024793,9.145051,3.0672019,3
MB-2797,4.6848493,4.3275213,9.579194,2.5254688,6
MB-7151,3.2726984,0.66681755,8.893083,3.2442734,10
MB-0035,4.1752377,4.7336564,9.393951,3.8457446,3
MB-5131,4.818609,4.487493,8.895219,4.5215797,8
MB-2643,4.066032,1.1055249,10.719424,2.004234,4
MB-5300,3.9865115,4.937213,8.291119,2.8622599,8
MB-7215,4.1323104,2.7261739,10.514371,2.7607744,4
MB-6059,5.1706486,3.0775805,9.089055,2.9280355,7
MB-0549,4.823303,3.416945,9.346806,2.6754186,5
MB-2626,3.8728952,4.4372034,9.293394,1.7406881,5
MB-0570,5.4978657,4.4667745,9.491723,3.0743132,6
MB-0643,4.166103,1.8231378,9.07651,2.7172627,5
MB-2954,3.9347758,5.4795017,9.381083,2.5241883,8
MB-4793,3.3298583,1.8672935,8.627492,3.7510762,10
MB-4717,3.3351104,0.6548487,9.221118,3.1369843,10
MB-5306,5.2551584,3.9030187,9.015934,4.3170676,7
MB-2964,4.140055,3.557199,9.489872,2.571863,5
MB-2686,4.7117643,3.5665658,8.929921,1.8515178,1
MB-4688,4.3572445,5.094402,8.421911,2.8712187,5
MB-5405,4.523096,0.95797503,9.090904,3.102437,3
MB-5652,4.2987914,2.572915,10.212599,3.6417532,4
MB-0020,4.2576365,2.6017454,9.844472,2.8705013,4
MB-6050,4.1338673,4.8723636,8.472291,4.279332,8
MB-5547,3.0670173,0.6677381,9.045838,3.3386745,10
MB-4715,3.2162232,0.63909787,9.017377,3.2695026,8
MB-2779,3.9623082,4.7508683,9.498945,2.3955338,10
MB-0472,5.332689,4.7370925,9.5537195,3.0961602,7
MB-0494,4.191004,1.4349512,9.686206,2.5165904,4
MB-0497,5.444513,3.6234958,9.758518,2.761067,4
MB-5068,5.367179,5.283494,10.573302,3.8465235,4
MB-5209,4.401291,1.5648317,8.764864,3.6517859,4
MB-0432,4.063112,1.0825795,10.71831,1.9941518,4
MB-2827,3.363317,0.59035045,9.48571,2.8845992,10
MB-6065,4.3467197,4.636952,7.769338,5.013633,8
MB-7232,5.3198385,5.0138335,9.169117,3.5614607,8
MB-3344,3.6397605,4.97414,9.502086,2.0334678,3
MB-4702,4.2473645,4.093589,8.22585,3.9254608,9
MB-4591,5.734083,3.7900913,8.179547,3.649301,9
MB-0874,2.9633229,0.60637224,9.145157,2.6276755,10
MB-0214,3.190995,0.6564179,9.294855,3.1014655,10
MB-5174,4.456868,4.2110515,7.6059623,5.27197,5
MB-0189,4.5583673,2.5742426,10.457031,2.6984384,6
MB-0133,4.344728,5.3292933,8.97262,3.4688425,8
MB-5472,4.36874,5.4704175,8.879776,3.1563406,8
MB-7002,4.276132,3.8203008,9.685809,3.9546661,4
MB-2952,3.1931803,4.5618277,9.827393,2.2575479,8
MB-3528,3.0731847,3.486693,9.966138,2.276614,5
MB-5634,4.3082004,0.8739512,9.061735,3.0982556,10
MB-5534,4.3410654,1.2794809,9.059234,2.986593,4
MB-2951,3.075321,3.7605572,10.324093,2.150765,1
MB-0662,4.347073,4.61663,8.518824,2.8791819,5
MB-2814,4.3925467,4.3812556,9.380987,2.6974392,3
MB-5601,3.7407556,4.612451,9.061692,2.8240368,3
MB-7217,4.519866,3.209287,9.991703,3.1821299,3
MB-2536,3.031168,3.8165982,10.2874365,2.1493776,3
MB-0188,4.3973694,3.37994,9.702108,2.3322477,3
MB-5105,4.905699,4.6860833,8.924436,4.315474,8
MB-4987,4.264062,4.83138,8.961973,3.9087143,8
MB-0160,4.608004,2.4803898,10.748032,3.3420966,4
MB-4945,3.423221,1.0934327,8.981812,3.4685383,9
MB-0424,4.350215,2.3318555,10.653465,2.627819,4
MB-6288,5.343418,4.556996,9.856411,3.857346,6
MB-5347,4.3494864,4.938333,8.111234,4.670582,3
MB-5499,4.8240995,3.3707178,9.747088,3.7909317,4
MB-5350,4.276666,3.6784325,9.223341,3.7907634,4
MB-6001,4.0773077,3.5489545,9.068718,3.985576,3
MB-0116,5.058276,3.6933851,9.944087,2.076901,6
MB-0306,4.731106,3.5865197,9.844938,2.2693217,3
MB-5189,5.0101533,3.234369,9.671977,3.295699,4
MB-7249,5.05525,5.3750057,10.387616,3.4317164,8
MB-0466,5.0936484,3.5374916,8.994476,2.6479607,1
MB-3218,3.333662,0.8525923,9.493652,2.855368,10
MB-0901,3.0818465,0.7376582,9.198766,2.6286976,10
MB-4601,4.1021786,2.8391447,8.577724,4.008848,5
MB-5116,4.4139867,5.4604044,8.271454,3.757002,2
MB-0336,5.2885165,3.802027,9.6943655,2.142101,10
MB-4362,4.5405498,4.046039,8.345245,4.8761096,4
MB-5065,4.0577765,0.9169207,9.031242,3.1151996,4
MB-7015,3.8482773,4.341202,9.479144,1.908274,8
MB-0154,4.514991,2.5861585,10.755909,3.1411781,4
MB-0130,5.0145245,3.900105,9.291794,2.349746,5
MB-7107,3.8440752,5.5220537,9.126429,3.194843,8
MB-5182,4.832331,4.792054,8.971119,4.258042,3
MB-0166,4.6003137,3.2954893,9.881586,3.8776608,4
MB-6058,3.5367935,0.652909,9.46598,2.8586895,10
MB-5228,5.0711164,4.338379,8.108909,3.5453417,7
MB-0390,4.2698402,1.3667614,9.64264,2.56328,5
MB-5453,4.577577,2.496244,10.480208,3.5491343,4
MB-0129,4.2451687,3.102967,9.540658,2.1545703,5
MB-6118,4.168766,3.5159292,8.358676,3.6585176,3
MB-4865,3.8542109,1.0005999,9.665656,2.4379756,10
MB-6234,4.860218,3.1273324,9.97059,3.7524216,4
MB-4749,3.879178,5.1544156,8.366095,3.5063815,8
MB-0397,4.6526446,2.7862227,10.565032,3.1885974,4
MB-0282,4.63255,2.625785,10.644947,3.2220514,4
MB-4234,4.5905175,4.2365203,7.8353167,5.2748547,4
MB-4981,4.0070996,4.8544383,8.3591175,4.109223,3
MB-6082,4.3451476,3.534651,9.205808,4.021626,7
MB-0191,3.801631,0.9455662,9.671467,2.4605002,10
MB-4264,4.61815,4.046202,7.702819,5.0560656,7
MB-0230,4.3532996,2.2920797,9.444463,2.83128,5
MB-0147,4.461133,4.177026,7.822322,4.9173837,2
MB-3530,3.1347575,3.9617355,9.93242,2.3962612,8
MB-0453,4.239396,2.985675,9.339482,2.578861,2
MB-5478,3.5988507,4.3669047,8.76982,2.7030356,3
MB-5287,4.5107284,4.253683,8.648577,4.390088,3
MB-7068,4.4553185,3.6959407,8.929779,1.9538461,9
MB-7026,3.9302437,4.5481496,9.549488,2.0224607,3
MB-5571,5.5937204,4.179562,9.434501,3.3031933,7
MB-2854,3.1560175,3.7593188,10.23931,2.440624,7
MB-5368,4.6520157,4.0133104,8.176684,4.966737,4
MB-0373,4.5039697,3.5696151,9.5299,2.3120747,5
MB-5463,4.7023335,4.076584,7.654648,4.8072453,9
MB-4888,3.3724961,0.8071658,9.463338,3.1703067,4
MB-6328,5.538051,4.3238072,8.626075,3.4482656,2
MB-0138,4.616483,3.938283,9.280278,3.7572074,3
MB-4770,4.014743,1.5692871,9.1358595,3.0427067,10
MB-0495,4.4865746,2.7151983,10.499418,2.5988128,4
MB-5062,4.5008154,1.8330057,8.932617,3.4251041,1
MB-5118,3.544741,4.6766357,8.854001,2.760766,3
MB-0439,4.469071,5.640781,9.144845,2.4974911,8
MB-4318,5.645996,3.8369575,8.167227,3.5929105,1
MB-5158,5.744219,3.725338,9.2705145,3.2056143,7
MB-4333,4.032551,4.5296893,8.579584,4.4859276,3
MB-5136,4.7684374,2.5382721,9.769523,3.7416506,4
MB-0150,3.9592535,0.9796347,9.613963,2.561022,4
MB-4015,4.0399776,2.5082858,9.376909,2.818399,4
MB-5107,5.5575747,4.0597563,8.279518,3.511439,1
MB-4381,4.4249687,4.2879324,7.425344,5.517988,7
MB-5502,5.2264047,3.4419868,8.4696865,3.943961,7
MB-4351,4.3936496,4.1606255,7.592759,5.2343593,1
MB-4674,5.558728,4.6580324,9.292055,3.8873086,7
MB-3702,3.8566604,1.3509822,9.691818,3.1676934,10
MB-7124,5.726327,4.312793,9.132313,3.6098886,7
MB-0289,4.090086,1.126465,10.652692,2.0531142,4
MB-0221,3.9565935,2.487778,9.905978,3.2161808,4
MB-0440,5.4218335,3.9224954,9.601966,2.7705624,1
MB-0134,4.6221395,5.3747177,9.739109,2.6300137,8
MB-4853,4.1191683,5.2666736,8.373695,3.6290765,8
MB-6271,5.44492,4.580476,8.985835,4.090214,7
MB-7100,4.9184833,5.286167,10.338109,3.5786107,8
MB-7189,4.409841,3.9806106,9.781326,3.9034631,1
MB-2728,4.5831804,4.07404,8.886228,1.9621686,9
MB-5653,3.8146446,4.041522,8.768964,3.258355,9
MB-4709,4.0550437,5.3165374,8.906872,3.879404,8
MB-5493,3.979264,5.112857,8.55831,3.7377138,2
MB-4672,5.8788877,3.6991854,8.280508,3.4442375,7
MB-4859,4.4437165,1.6403764,9.254892,3.550224,4
MB-4145,4.4186234,3.509553,8.7518215,4.3171077,4
MB-0395,4.822502,4.1972976,9.644861,2.2717535,5
MB-0039,4.3495297,8.714672,6.1854405,-0.39305183,4
MB-5451,4.0924134,5.4539104,8.738051,3.5155532,8
MB-5020,4.408475,5.247533,8.264374,3.7942011,8
MB-7012,3.407894,0.79101485,9.299989,3.1440911,10
MB-3063,3.5312116,1.0451757,9.433597,2.6048107,10
MB-7195,4.2457504,5.5903244,8.838833,3.158847,8
MB-0644,4.4221354,2.1563778,10.480256,2.432496,4
MB-2774,3.7176602,4.4192624,9.4284315,1.822815,7
MB-3083,5.3091035,5.1487007,9.032302,3.224234,1
MB-0891,4.272424,5.1178226,9.199201,2.5260293,3
MB-7250,4.256319,1.7373815,9.050166,3.1525366,5
MB-5498,4.3210325,2.830455,9.100934,3.5308022,1
MB-2718,3.2981586,0.6855769,9.456146,2.6942713,10
MB-0056,4.339416,8.723811,6.1764174,-0.40254897,1
MB-2848,3.0725486,3.9521239,10.016813,2.311094,3
MB-3328,3.7819006,4.3093486,9.318005,1.9217719,7
MB-2610,3.1092186,4.53621,9.907334,2.1658823,8
MB-0232,3.9191077,5.524197,9.186604,2.7307858,8
MB-3062,3.8847575,1.1422398,9.611113,2.7613175,10
MB-0151,5.2075624,4.3715343,8.8867035,3.2951589,2
MB-2966,3.22308,4.5376573,9.812197,2.1669781,8
MB-4686,4.1324444,3.5758433,8.970001,4.004861,3
MB-3021,3.7454686,4.957783,9.54482,2.8117146,8
MB-4873,4.9596696,4.3285227,8.6085415,4.0259104,8
MB-4928,4.3302464,1.7844858,9.704815,2.4249458,5
MB-0488,4.471751,2.3504527,10.793958,3.227501,4
MB-4860,3.9282446,3.9869092,9.060878,3.6239417,3
MB-5164,4.4786673,1.9508387,9.0861,3.6316679,5
MB-4046,4.412159,4.421577,7.460771,5.443469,8
MB-0396,3.319295,0.5535857,8.953827,2.9504368,10
MB-6314,4.3511496,5.012359,8.91415,2.7662835,1
MB-4000,5.3124375,5.3460073,10.542388,3.7844284,4
MB-3371,3.706179,5.231178,9.064117,2.4640474,8
MB-4005,4.388574,3.0309587,9.436219,3.2383962,3
MB-4976,4.134999,4.9643755,8.081158,4.546836,8
MB-7122,4.2785788,2.3932052,8.835913,3.245885,4
MB-3525,3.1153193,3.790037,9.9208145,2.539213,1
MB-6145,4.6756835,3.761146,8.447096,4.6283183,7
MB-7142,5.691124,3.7711306,8.274741,3.8745558,2
MB-0459,5.7876396,3.2960558,8.801938,3.032397,6
MB-5429,5.171634,4.958342,10.170406,3.6851285,4
MB-4846,4.6239533,4.495826,8.016418,2.9584978,5
MB-0363,5.1159782,3.5140164,8.938631,2.1798313,2
MB-5284,4.2978926,4.9630537,8.312117,3.9762216,3
MB-0119,5.6572695,3.776018,9.427989,2.5857458,7
MB-5440,3.692181,0.7000487,9.158645,3.091165,10
MB-4959,4.4063377,4.3152447,8.629613,4.381376,3
MB-2850,3.931138,0.9923862,9.360222,2.639026,10
MB-4644,4.3456244,4.697159,8.050614,4.558668,5
MB-0010,4.1808496,4.5483084,9.073015,1.9065241,7
MB-2614,3.2561152,3.8916063,10.301185,2.1789155,7
MB-0144,4.314721,5.459723,9.295184,2.438938,8
MB-5045,4.3955364,3.4125412,8.729796,4.230668,4
MB-4784,4.4394813,4.0325933,8.275897,4.753858,1
MB-4912,4.4944944,5.0339746,8.348001,3.85362,8
MB-6212,5.756653,3.4021864,8.662428,3.1781433,7
MB-5172,4.151555,3.4568396,8.930216,3.4787948,5
MB-4673,4.870957,4.0259457,8.141044,3.3062081,9
MB-2721,4.882216,4.15196,9.1718,4.2335405,7
MB-0490,5.2079697,5.0478444,10.562803,3.6815815,4
MB-4306,4.326493,4.537445,8.584438,4.4187326,3
MB-5435,5.3831224,4.1035666,9.175863,3.3950133,9
MB-5532,5.702188,3.6603136,8.29024,3.7759209,7
MB-0210,4.058815,1.0713818,10.740067,1.9769171,4
MB-4642,5.3332524,3.9774384,9.49274,3.0189497,6
MB-6318,4.122564,3.1137633,9.377331,2.6989963,10
MB-2786,4.066066,4.509468,9.403299,1.8702489,5
MB-0349,5.2765713,4.08833,9.647786,2.4381583,3
MB-3103,4.2713466,3.8432407,9.243427,2.2352486,5
MB-5298,3.5767477,0.6294938,9.204935,3.0437984,10
MB-7229,3.7972481,5.5304246,9.176004,2.9729571,8
MB-0650,5.159482,3.9746096,9.66024,2.01251,2
MB-3153,4.072943,3.3222635,8.793859,4.0955334,10
MB-5204,4.932599,4.7762346,8.854484,4.231486,3
MB-0496,4.681252,3.167247,10.41571,3.1671245,3
MB-5115,3.081161,0.5797453,9.297724,3.1670902,10
MB-0608,3.8076622,0.8900779,9.082222,2.887768,10
MB-3388,3.7620506,4.5148234,9.146305,1.8701965,8
MB-7080,3.875467,5.3904004,9.48745,2.518223,8
MB-0385,5.572716,3.8084035,8.806744,2.3522675,9
MB-3711,3.0707977,3.9763331,9.9311495,2.3044193,3
MB-7067,3.3740122,2.7530386,9.85958,2.5818307,5
MB-0542,4.549944,3.4125893,9.563285,2.0953307,1
MB-5535,4.0635333,2.8137894,8.57968,3.9954205,5
MB-0419,4.712166,5.272686,9.204932,2.4061725,8
MB-5311,4.1153617,2.632611,10.387178,2.655477,4
MB-4687,4.3538733,1.290436,8.883509,3.2372837,4
MB-7256,3.885935,3.1224947,9.937655,3.130744,5
MB-7073,3.1989043,3.059113,9.911432,2.555621,5
MB-5041,4.319129,1.1813073,8.849624,3.2200246,2
MB-5225,3.3382053,0.61022776,9.058199,3.2389648,10
MB-5258,3.044887,0.7177822,9.500205,3.1507385,10
MB-4079,4.397872,4.0671597,7.4707723,5.4794927,7
MB-5110,4.397493,4.3541965,9.322603,4.3099084,3
MB-5395,4.062674,4.974624,8.221813,4.3168044,3
MB-4266,5.30893,4.069108,8.945672,4.1342254,6
MB-2944,4.2295837,4.569344,9.874901,2.1187756,8
MB-0897,4.9765935,3.3130004,9.810294,3.7777648,4
MB-5520,5.2917185,3.2340598,8.998341,2.6315067,7
MB-6062,4.029934,0.848938,9.058012,3.0611045,10
MB-2752,5.4319253,3.8465488,9.617875,2.981345,7
MB-5592,3.7252078,4.998136,8.546275,3.4522755,8
MB-6327,5.873451,3.5940294,8.382091,3.426582,7
MB-0577,5.2625017,3.981429,9.713684,2.59294,7
MB-3295,4.1128354,2.6568356,10.448025,3.382708,4
MB-0110,4.2244425,3.0155191,10.331693,3.2521245,3
MB-4641,4.6296744,4.640003,9.216233,4.116143,3
MB-4796,3.9271579,5.184533,9.153464,2.69928,5
MB-2917,3.22372,0.7696152,9.400131,2.6192565,10
MB-0410,4.7324104,3.143852,9.750699,2.5560431,3
MB-0139,4.77548,2.7889524,10.477895,3.559606,3
MB-5351,4.5211773,2.3404627,9.586075,3.9241753,4
MB-4820,5.3612766,5.2556376,10.322593,3.7808707,2
MB-0360,5.7571855,4.3603425,9.338474,3.4114978,7
MB-6233,4.55634,5.213002,9.027743,2.8879764,8
MB-0600,5.8141026,3.3707185,8.919446,2.839069,6
MB-6189,5.6663127,4.6148005,8.842052,3.624689,7
MB-0434,4.856185,4.724652,8.788813,2.476733,5
MB-0603,5.4859548,4.176701,9.667698,2.444445,7
MB-4368,4.3816605,4.3159246,7.518278,5.3459277,8
MB-0273,4.4459662,5.454505,9.396516,2.2633636,8
MB-4622,3.6181262,0.96794283,9.41712,3.0083773,10
MB-5017,4.2550774,1.178963,8.873915,3.1665015,4
MB-3510,5.5224657,4.4120603,9.272278,3.9236262,7
MB-5081,5.147394,3.3109937,9.13792,3.9936864,9
MB-0107,4.353193,8.693753,6.202242,-0.3780701,1
MB-7056,4.512932,4.301167,9.315106,3.1304774,3
MB-2764,4.2895265,2.275124,10.689278,2.7625484,4
MB-7262,4.174365,3.6348135,9.475634,2.7843347,9
MB-6214,4.4151936,4.7859144,8.75516,4.1786947,3
MB-0244,5.329149,5.437436,10.58233,3.631969,4
MB-0364,5.5281773,3.452313,9.686317,2.676781,4
MB-0290,3.8692458,5.3760867,9.367296,2.3751488,8
MB-7153,3.7814183,5.511634,9.144559,2.8479042,8
MB-6273,4.33283,4.2457952,7.7682166,5.2211046,3
MB-6248,3.7196443,0.7814714,9.3589525,2.8443,10
MB-3303,3.8719144,4.1944857,10.036357,2.3708947,4
MB-3102,4.4537497,4.636421,8.481857,2.2890098,9
MB-5221,3.9608881,5.194379,8.341766,3.469659,8
MB-7131,4.466159,5.6767907,9.2165,2.6525476,8
MB-3122,4.1965437,4.079343,8.7341,2.5135226,9
MB-3840,3.334823,3.9211242,10.32347,2.4665399,6
MB-7072,4.1683645,4.2933555,9.174268,2.868431,1
