,Component_1,Component_2,Component_3,Component_4,label
120,4.6293726,5.283244,9.443303,2.524795,9
121,4.3170986,5.38906,8.6204195,3.170641,6
122,4.32213,5.2880297,8.784316,2.3872547,9
123,4.5979743,4.9483757,8.144914,3.548735,6
124,4.304517,4.563375,7.603305,5.1816816,4
125,4.873586,4.8887477,8.980459,4.1516123,8
126,4.7079,2.5249183,10.380894,3.5800347,4
127,4.3301353,8.741677,6.158917,-0.41924956,5
128,5.707056,3.9853117,8.753833,3.8085608,6
129,4.08039,3.723845,9.55207,3.803448,8
130,4.177026,4.128471,9.053068,4.443853,9
131,4.4820457,4.80615,9.76553,3.7149525,5
132,4.3568287,4.4195232,9.281324,1.8469924,10
133,4.2416716,4.602365,9.707601,3.6065388,4
134,4.2339706,1.2957575,8.868042,3.0494382,8
135,4.468564,3.5089366,8.550875,4.207808,6
136,3.9961941,4.6470723,8.249059,4.461824,10
137,4.402685,0.96479005,9.099985,3.0888402,8
138,4.428431,3.3976727,9.064632,4.016859,4
139,4.438646,4.482361,7.8130875,4.796104,4
140,4.389777,4.185988,7.819264,4.1802683,3
141,4.5564995,2.6897867,10.608856,3.183091,1
142,3.960326,4.9162183,8.042799,4.3438015,2
143,4.2939534,1.2191954,8.937102,3.084059,10
144,3.0852132,4.2024446,9.894711,2.318212,8
145,4.586316,4.0192122,7.9194217,5.1378803,10
146,4.2749987,5.0150447,9.239993,2.0312202,8
147,4.5429335,5.620833,9.457065,3.0267699,4
148,4.5562973,3.945425,9.050663,3.9739408,4
149,5.323095,3.0206025,9.133109,2.7458167,2
150,4.3836193,8.66546,6.231881,-0.35058546,8
151,4.1764417,5.528638,8.484043,3.5290892,4
152,4.781139,4.370004,9.311939,3.997438,1
153,5.365247,3.2102118,8.904819,3.2153432,5
154,4.3307714,3.7315328,7.706174,5.3103285,9
155,4.6404014,3.8897946,7.8867016,4.6464744,3
156,3.5638247,2.478802,10.259276,2.4396055,10
157,4.95994,3.2723055,9.471702,2.2855246,3
158,3.2309294,2.9817798,9.952762,2.496448,7
159,5.680317,3.65183,9.312181,3.2925136,5
160,3.1853137,0.7897775,9.345569,3.1906476,9
161,4.0421476,4.202389,8.679826,4.280665,10
162,4.5694633,3.9604642,8.862671,1.9774866,7
163,5.3822155,3.7859833,9.19778,4.046178,3
164,4.4218707,4.467476,7.6304073,5.314288,8
165,4.7348614,4.8174686,9.031387,3.9641283,10
166,4.0125294,3.776313,8.57324,2.7256773,1
167,4.675963,4.6020956,9.637655,1.8145512,9
168,4.788564,4.775672,9.035994,2.66079,9
169,5.3475614,5.2018814,10.344988,3.9997952,8
170,4.5913773,3.1586034,9.763453,2.1139536,10
171,3.2181084,2.9649026,10.20758,2.3845756,3
172,4.3916597,2.2457042,10.639592,2.7465937,8
173,4.6634507,4.4339185,9.666314,2.5838423,6
174,5.538515,3.5036163,9.454327,2.308401,2
175,5.4618936,4.912842,9.034236,3.4979036,6
176,5.3358955,4.435809,9.370653,2.0895724,9
177,4.3827505,1.1926155,9.056698,3.1601942,7
178,3.2989626,1.149864,8.925868,3.170067,4
179,3.881151,5.5553527,8.800315,2.9362564,8
180,4.746053,2.6372614,10.1057,3.730121,4
181,5.4015684,3.9256513,8.579916,3.7526019,5
182,3.1472106,0.5629679,9.320531,2.76165,8
183,4.3861303,3.7152152,9.258691,3.913683,10
184,4.0693917,5.108844,8.733391,3.996986,4
185,4.119755,3.16264,8.752952,3.7831898,7
186,4.267998,4.473038,8.699233,1.949493,3
187,4.18349,3.8592677,9.862248,2.0697076,7
188,4.315591,2.966383,9.851062,2.2115672,4
189,4.302155,3.8004475,8.857923,4.1483545,10
190,4.3187046,5.301861,8.190782,3.662901,5
191,4.5000215,5.1414146,8.734308,2.3727722,7
192,5.383399,4.011452,9.391977,3.5201197,10
193,4.094171,3.1955512,8.979248,4.0633607,4
194,5.063047,4.891076,9.190491,4.090129,8
195,4.4376707,1.7866751,8.794194,3.8155189,3
196,3.1191378,3.239414,10.068264,2.4272127,4
197,4.917277,4.2550697,8.051131,3.488672,10
198,5.281456,5.2408595,9.547079,3.795524,10
199,4.5794744,4.698268,8.308249,4.031377,4
200,5.219019,5.007554,10.110116,3.939337,10
201,3.4384167,1.4189984,9.242136,3.418981,9
202,4.072787,4.8372493,8.568524,2.7297723,5
203,5.838215,3.395618,8.74991,3.0836265,4
204,5.5728445,4.559727,9.392103,3.4115684,10
205,4.8828125,4.089925,9.564025,2.8689146,6
206,4.5788994,4.4011655,9.218636,4.2456527,5
207,5.0582266,3.414244,9.050699,1.9830629,4
208,3.7916777,4.5621443,8.880837,2.1979294,4
209,4.6519895,2.9908924,10.626416,3.1162732,3
210,4.4095144,4.302114,8.404124,2.4360726,1
211,3.6309292,2.325688,8.681007,3.874024,8
212,4.6398897,5.462455,9.388703,2.3266358,4
213,4.3080235,1.2452857,9.405619,2.6554692,3
214,4.5250854,2.0846145,10.079029,2.9465075,4
215,5.7051425,3.757838,9.392494,2.8752704,2
216,4.148061,3.7703261,8.663024,3.4459894,4
217,4.1286263,2.0472016,9.373528,2.947535,1
218,4.897543,2.9716253,8.871157,3.3997848,7
219,4.339848,4.9038305,8.175532,4.6795197,4
220,4.2441835,1.2187647,9.299067,2.8706255,5
221,4.722232,2.9183376,10.585241,3.0419056,10
222,4.110738,4.9486027,9.459777,1.9578917,10
223,4.1839437,5.1567245,8.244098,3.899599,1
224,3.6456265,4.4321723,8.689151,2.6113472,7
225,4.255486,4.7187815,9.374123,1.9189744,9
226,5.0933437,5.199908,9.26096,3.2275975,7
227,5.498763,4.1317973,8.253677,3.424731,4
228,3.7393978,4.0313206,9.392767,1.9099041,1
229,4.9292426,4.781359,8.808698,4.2222614,8
230,3.28391,3.841183,9.777979,2.3534482,8
231,3.8454313,2.6518803,10.595998,2.5105577,9
232,4.515999,2.4315822,10.425751,2.8174171,7
233,4.372211,2.044311,9.873071,3.7995677,10
234,4.211027,4.656149,8.926972,1.9271952,3
235,4.1312704,1.7498676,9.071374,3.0632617,6
236,4.5781207,5.4085073,9.398317,2.3580658,9
237,5.636349,3.446466,8.63756,2.9062607,8
238,4.5056615,4.998174,8.178757,4.4630704,6
239,5.33837,4.2459097,9.4397545,3.485131,9
240,4.958818,3.6904652,9.452568,3.7925847,10
241,4.1585383,3.8669953,9.00937,4.232946,4
242,4.262728,4.7950163,9.42181,1.9958712,10
243,5.6107907,3.722665,8.951893,2.2568917,3
244,5.4693,4.2943354,9.095273,4.2180796,2
245,5.3256335,5.3006544,10.540612,3.8189082,10
246,4.110983,4.9947886,8.107845,4.181467,8
247,4.345178,8.72456,6.175829,-0.4028179,1
248,5.264855,5.3767247,10.463854,3.5800016,7
249,4.290818,3.8984313,9.21354,4.029713,3
250,4.166167,4.0141177,8.052818,4.942693,8
251,3.1880796,3.8176198,10.455291,2.520857,8
252,5.6521716,3.5877988,8.271625,3.6769128,6
253,5.5845404,3.608514,9.183912,2.3547204,7
254,3.916481,4.087089,10.113158,2.1520507,5
255,4.1547604,3.068569,10.252877,3.077564,4
256,3.8245885,4.648885,8.633071,3.4324198,3
257,4.055933,3.1581018,8.379344,4.060921,5
258,4.2491727,4.6638503,7.6778336,5.1104116,2
259,4.5655684,4.6398797,8.957948,4.323875,4
260,4.3778605,4.37358,7.4365115,5.4770284,3
261,3.9349043,5.362337,9.364542,2.3420658,10
262,5.1785526,3.1323726,9.20362,2.2652044,6
263,4.093253,4.06437,9.41301,3.0015037,4
264,5.3801727,4.579416,9.632321,3.3842154,9
265,3.2010598,0.791933,9.375265,2.5469527,1
266,3.9932146,3.978043,9.446953,4.0052605,3
267,3.8331676,4.7411356,9.249136,1.862424,3
268,4.846092,3.0227902,9.940345,3.8670309,6
269,4.691917,5.0633187,8.443819,3.7102323,9
270,4.8030205,5.04683,9.949725,3.6135788,7
271,5.640032,3.4522257,9.300036,2.5848997,2
272,5.5998306,4.762452,9.290535,3.631191,7
273,4.3345404,3.6997278,7.710279,5.2694283,7
274,4.85167,3.8730516,8.845953,4.6104183,2
275,4.1726236,3.9593525,8.109426,4.7428317,2
276,3.245719,3.7754478,10.345806,2.4368021,5
277,4.040659,2.865681,8.818756,3.6837108,10
278,3.9525332,5.0532007,8.235877,3.8870764,3
279,3.940309,4.2803774,8.403174,4.3652444,4
280,5.2286158,3.7036386,9.703565,3.1811411,1
281,4.1290317,0.9739211,8.945784,3.1510983,10
282,4.2990437,4.724745,8.331189,2.7960308,8
283,4.435213,4.628241,9.530024,3.7217023,10
284,3.9497938,4.6951327,8.20653,3.1147563,7
285,4.4917636,2.3496625,9.633268,2.7738004,4
286,4.7196236,4.0021725,9.371233,1.9599345,3
287,4.2672443,0.9897598,9.124774,3.2671182,7
288,3.7475712,0.63141936,8.931252,2.8322144,8
289,3.8633983,4.373843,9.367185,2.028247,5
290,4.534478,0.85004365,9.119398,3.0773659,9
