,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-0197,2.1776214,1.6749611,10.703137,2.0400703,9
MB-3437,1.8056314,-0.29641017,10.672755,1.8373271,4
MB-6346,3.103489,0.2245008,9.67374,2.378869,8
MB-0413,2.0743566,0.44673085,10.52113,2.1704304,2
MB-4687,2.582952,1.6367135,10.903577,3.4199855,4
MB-5219,1.9211383,0.25803435,10.765636,2.4917908,4
MB-7074,2.3593037,0.32529467,11.1923275,2.3974802,4
MB-5331,2.421101,0.10892915,10.572186,2.6291056,2
MB-5121,2.661001,0.23891279,9.819253,1.6324893,8
MB-4212,2.70133,0.20139425,10.226031,3.0670073,4
MB-6026,2.7419794,0.52289665,9.817169,3.004095,1
MB-5393,2.4709551,-0.05460701,9.85298,2.889101,7
MB-5273,2.1764326,-0.22219586,10.454492,2.3372948,6
MB-5152,1.8648713,0.3195772,10.054458,2.6561358,7
MB-3035,1.7244594,0.4927456,10.796191,2.4652436,7
MB-5160,2.219755,0.2481432,9.734533,2.082167,8
MB-3295,2.3746295,0.7594047,11.564965,2.433265,4
MB-0366,2.8774226,0.6071277,9.983553,1.3585067,8
MB-0134,2.2677011,0.46114203,10.389213,1.3198756,8
MB-7023,2.7765083,1.8861365,11.52358,2.5240517,10
MB-0872,2.3022454,1.3732281,10.064691,2.2155643,7
MB-0377,2.4938197,0.7904888,11.365449,2.5176103,4
MB-0475,2.673585,0.84474367,9.8946,1.7116278,9
MB-5386,1.8925756,0.91329634,9.851521,2.4920228,7
MB-0574,2.6080596,1.0436478,9.7238035,1.8095531,2
MB-6195,2.71595,0.47356385,10.871348,1.8158941,3
MB-7207,2.2855332,1.6380863,10.943022,2.8782666,1
MB-5640,1.9456372,-0.12025541,10.801751,2.31524,4
MB-4993,2.1748083,1.24505,10.858103,3.124846,4
MB-0591,2.2275805,0.53017354,10.264541,1.4053491,8
MB-0169,1.9854523,0.8529085,11.381188,2.702152,4
MB-7232,2.1493523,0.13166581,10.051966,1.7523463,8
MB-4375,3.160088,0.29484367,9.682273,3.147929,3
MB-0877,2.1078193,1.2563534,10.275083,1.6433948,6
MB-0641,2.109732,1.0753305,11.809111,2.8544302,4
MB-5059,3.1404529,0.38728714,9.95397,1.915712,8
MB-4838,2.644419,0.37223336,9.595535,1.9728062,8
MB-5366,2.926478,0.96379465,10.186538,2.6834126,5
MB-0264,1.6348716,1.2257402,10.622534,2.16252,9
MB-5435,1.8598212,0.6637221,10.101752,2.6616342,9
MB-3013,2.4212332,0.95864606,11.423958,1.5310662,4
MB-0168,1.9902612,1.3059436,11.47944,2.3425186,4
MB-0660,1.7815608,1.2491622,10.75031,1.9825729,10
MB-2750,2.6813786,0.71684885,10.599747,1.1826013,8
MB-0659,2.2712967,0.5090347,11.411901,2.858161,4
MB-0266,2.390882,0.9955498,11.077633,1.5432588,8
MB-0496,2.2119188,0.609394,11.278336,2.338429,3
MB-5481,1.735943,1.1893728,10.285148,2.4195683,6
MB-2951,2.6232002,0.95242494,11.432144,1.4700564,1
MB-0236,2.047938,1.457511,10.995668,2.114157,5
MB-4640,2.2540064,0.53396827,10.314314,2.9273567,7
MB-3292,2.9866736,1.8233074,11.383887,2.733373,10
MB-0053,2.4689617,1.1365091,11.407054,0.843469,7
MB-0253,1.80403,-0.23539512,10.758302,1.9679953,4
MB-5385,1.9597974,-0.21240185,10.600303,2.0933993,4
MB-5107,1.9361961,0.74413794,9.72858,2.6279116,1
MB-7055,3.1455483,0.4958396,10.612909,2.4302537,10
MB-3050,2.1271734,0.25887942,10.732803,2.7119448,2
MB-2840,2.84012,0.6133249,11.355784,1.8091549,3
MB-7123,2.518688,0.14213917,10.837574,2.0320952,1
MB-5440,3.1373165,1.9042839,11.027007,3.1087463,10
MB-5350,2.5350208,0.5614808,10.880098,2.567225,4
MB-5447,2.6640735,1.2338637,10.386548,2.3052022,6
MB-4655,3.1998615,0.4462796,9.8865595,2.8526177,3
MB-7157,2.9663534,0.20928131,9.748619,1.7086377,8
MB-0869,3.3264315,1.8097521,11.339181,2.727696,10
MB-5530,2.9293492,0.73389596,10.647366,2.7648606,7
MB-5127,1.8469783,0.6212259,9.779288,2.0835514,1
MB-7289,2.242454,1.0266538,11.433121,2.2226074,4
MB-5592,3.1028016,0.35020578,10.028198,1.8344275,8
MB-4801,3.092961,0.6593929,10.65563,1.5156999,8
MB-5120,2.5564303,1.1581198,10.53917,3.2083309,5
MB-6329,2.3500028,1.2978908,10.2659645,2.833989,9
MB-2618,2.549916,1.04085,10.879616,1.3127881,1
MB-4757,3.0442436,1.7998338,10.924309,2.8528936,10
MB-5196,2.1469378,0.49061444,10.030945,2.7795231,7
MB-5370,2.0428476,-0.080572814,10.0704565,1.927671,8
MB-5579,2.986016,0.6470629,10.638871,2.1873236,2
MB-0162,1.7093302,0.60134166,10.712459,2.1302855,7
MB-4140,3.2076252,0.31382003,9.539117,3.0607316,8
MB-6060,2.2519195,1.5472096,10.4352045,2.5065744,5
MB-0506,1.9584004,1.4125375,10.595906,2.6233263,9
MB-0248,2.8274372,0.42344373,10.041692,1.2433951,8
MB-7234,2.35583,-0.093267195,10.295611,2.3925533,6
MB-2796,2.5044973,0.68269837,11.4093895,2.3363912,2
MB-0204,1.9857067,1.1605526,11.104294,1.8467324,3
MB-5384,2.257076,0.8908593,9.888302,2.7096102,1
MB-5049,2.6235404,0.7799256,9.616747,2.2338402,8
MB-6163,2.6918848,-0.104205,10.145385,2.5280988,8
MB-6135,1.8575878,1.086289,9.871919,2.669043,9
MB-5070,2.7061868,1.8521376,11.139005,3.303131,10
