,ftmap,K,Bandwidth,s,geom_distance,concentration,silhouette,Score_cluster,CHI,DI,v_intra,v_inter,N_samples
0,rbf,2,0.125,74501.17316609007,2.500971637558733,0.029959331490066472,0.5425646539595317,0.5487161534078105,670.0543541302542,0.0010451267813942368,0.019162665613686496,0.025801881097519946,1000
1,rbf,3,0.125,74501.17316609007,2.500971637558733,0.029959331490066472,0.5723704872903992,0.6207372833022968,529.8982570400394,0.000928630685472857,0.00816958834283818,0.03290649102320468,1000
2,rbf,4,0.125,74501.17316609007,2.500971637558733,0.029959331490066472,0.41956123606359425,0.6162186457016657,547.8241635442616,0.0025525426457056366,0.005852982587038797,0.03224853010162266,1000
3,rbf,5,0.125,74501.17316609007,2.500971637558733,0.029959331490066472,0.4040967572394825,0.6524188625311523,525.6822515381892,0.0007294612820203883,0.00502639898422184,0.030578331521634437,1000
4,rbf,6,0.125,74501.17316609007,2.500971637558733,0.029959331490066472,0.3926857034046584,0.6801089006250827,481.49976460068035,0.0007294612820203883,0.004569781183325033,0.030022123453065982,1000
5,rbf,7,0.125,74501.17316609007,2.500971637558733,0.029959331490066472,0.4079041751058077,0.7191464019027252,507.59597007538076,0.0014853793842411543,0.0033192767703611953,0.029624297718274125,1000
6,rbf,8,0.125,74501.17316609007,2.500971637558733,0.029959331490066472,0.3953966672217534,0.7345981403388109,482.82283100647436,0.0023946096894803927,0.003015868114257368,0.029523157823530637,1000
7,rbf,9,0.125,74501.17316609007,2.500971637558733,0.029959331490066472,0.37667932367944834,0.7428008001159233,467.98398137982724,0.0009440523556820294,0.0028839811882925624,0.02947697962338339,1000
8,rbf,10,0.125,74501.17316609007,2.500971637558733,0.029959331490066472,0.3745442206311506,0.7530768418987253,462.9804825536874,0.0006565571826946744,0.002328352386290069,0.029433346871303917,1000
9,rbf,2,0.25,74501.17316609007,2.500971637558733,0.029959331490066472,0.5425646539595317,0.5487161534078105,670.0543541302542,0.0010451267813942368,0.019162665613686496,0.025801881097519946,1000
10,rbf,3,0.25,74501.17316609007,2.500971637558733,0.029959331490066472,0.5723704872903992,0.6207372833022968,529.8982570400394,0.000928630685472857,0.00816958834283818,0.03290649102320468,1000
11,rbf,4,0.25,74501.17316609007,2.500971637558733,0.029959331490066472,0.41956123606359425,0.6162186457016657,547.8241635442616,0.0025525426457056366,0.005852982587038797,0.03224853010162266,1000
12,rbf,5,0.25,74501.17316609007,2.500971637558733,0.029959331490066472,0.4040967572394825,0.6524188625311523,525.6822515381892,0.0007294612820203883,0.00502639898422184,0.030578331521634437,1000
13,rbf,6,0.25,74501.17316609007,2.500971637558733,0.029959331490066472,0.3926857034046584,0.6801089006250827,481.49976460068035,0.0007294612820203883,0.004569781183325033,0.030022123453065982,1000
14,rbf,7,0.25,74501.17316609007,2.500971637558733,0.029959331490066472,0.4079041751058077,0.7191464019027252,507.59597007538076,0.0014853793842411543,0.0033192767703611953,0.029624297718274125,1000
15,rbf,8,0.25,74501.17316609007,2.500971637558733,0.029959331490066472,0.3953966672217534,0.7345981403388109,482.82283100647436,0.0023946096894803927,0.003015868114257368,0.029523157823530637,1000
16,rbf,9,0.25,74501.17316609007,2.500971637558733,0.029959331490066472,0.37667932367944834,0.7428008001159233,467.98398137982724,0.0009440523556820294,0.0028839811882925624,0.02947697962338339,1000
17,rbf,10,0.25,74501.17316609007,2.500971637558733,0.029959331490066472,0.3745442206311506,0.7530768418987253,462.9804825536874,0.0006565571826946744,0.002328352386290069,0.029433346871303917,1000
18,rbf,2,0.5,74501.17316609007,2.500971637558733,0.029959331490066472,0.5425646539595317,0.5487161534078105,670.0543541302542,0.0010451267813942368,0.019162665613686496,0.025801881097519946,1000
19,rbf,3,0.5,74501.17316609007,2.500971637558733,0.029959331490066472,0.5723704872903992,0.6207372833022968,529.8982570400394,0.000928630685472857,0.00816958834283818,0.03290649102320468,1000
20,rbf,4,0.5,74501.17316609007,2.500971637558733,0.029959331490066472,0.41956123606359425,0.6162186457016657,547.8241635442616,0.0025525426457056366,0.005852982587038797,0.03224853010162266,1000
21,rbf,5,0.5,74501.17316609007,2.500971637558733,0.029959331490066472,0.4040967572394825,0.6524188625311523,525.6822515381892,0.0007294612820203883,0.00502639898422184,0.030578331521634437,1000
22,rbf,6,0.5,74501.17316609007,2.500971637558733,0.029959331490066472,0.3926857034046584,0.6801089006250827,481.49976460068035,0.0007294612820203883,0.004569781183325033,0.030022123453065982,1000
23,rbf,7,0.5,74501.17316609007,2.500971637558733,0.029959331490066472,0.4079041751058077,0.7191464019027252,507.59597007538076,0.0014853793842411543,0.0033192767703611953,0.029624297718274125,1000
24,rbf,8,0.5,74501.17316609007,2.500971637558733,0.029959331490066472,0.3953966672217534,0.7345981403388109,482.82283100647436,0.0023946096894803927,0.003015868114257368,0.029523157823530637,1000
25,rbf,9,0.5,74501.17316609007,2.500971637558733,0.029959331490066472,0.37667932367944834,0.7428008001159233,467.98398137982724,0.0009440523556820294,0.0028839811882925624,0.02947697962338339,1000
26,rbf,10,0.5,74501.17316609007,2.500971637558733,0.029959331490066472,0.3745442206311506,0.7530768418987253,462.9804825536874,0.0006565571826946744,0.002328352386290069,0.029433346871303917,1000
27,rbf,2,1.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.5425646539595317,0.5487161534078105,670.0543541302542,0.0010451267813942368,0.019162665613686496,0.025801881097519946,1000
28,rbf,3,1.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.5723704872903992,0.6207372833022968,529.8982570400394,0.000928630685472857,0.00816958834283818,0.03290649102320468,1000
29,rbf,4,1.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.41956123606359425,0.6162186457016657,547.8241635442616,0.0025525426457056366,0.005852982587038797,0.03224853010162266,1000
30,rbf,5,1.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.4040967572394825,0.6524188625311523,525.6822515381892,0.0007294612820203883,0.00502639898422184,0.030578331521634437,1000
31,rbf,6,1.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.3926857034046584,0.6801089006250827,481.49976460068035,0.0007294612820203883,0.004569781183325033,0.030022123453065982,1000
32,rbf,7,1.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.4079041751058077,0.7191464019027252,507.59597007538076,0.0014853793842411543,0.0033192767703611953,0.029624297718274125,1000
33,rbf,8,1.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.3953966672217534,0.7345981403388109,482.82283100647436,0.0023946096894803927,0.003015868114257368,0.029523157823530637,1000
34,rbf,9,1.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.37667932367944834,0.7428008001159233,467.98398137982724,0.0009440523556820294,0.0028839811882925624,0.02947697962338339,1000
35,rbf,10,1.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.3745442206311506,0.7530768418987253,462.9804825536874,0.0006565571826946744,0.002328352386290069,0.029433346871303917,1000
36,rbf,2,2.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.5425646539595317,0.5487161534078105,670.0543541302542,0.0010451267813942368,0.019162665613686496,0.025801881097519946,1000
37,rbf,3,2.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.5723704872903992,0.6207372833022968,529.8982570400394,0.000928630685472857,0.00816958834283818,0.03290649102320468,1000
38,rbf,4,2.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.41956123606359425,0.6162186457016657,547.8241635442616,0.0025525426457056366,0.005852982587038797,0.03224853010162266,1000
39,rbf,5,2.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.4040967572394825,0.6524188625311523,525.6822515381892,0.0007294612820203883,0.00502639898422184,0.030578331521634437,1000
40,rbf,6,2.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.3926857034046584,0.6801089006250827,481.49976460068035,0.0007294612820203883,0.004569781183325033,0.030022123453065982,1000
41,rbf,7,2.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.4079041751058077,0.7191464019027252,507.59597007538076,0.0014853793842411543,0.0033192767703611953,0.029624297718274125,1000
42,rbf,8,2.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.3953966672217534,0.7345981403388109,482.82283100647436,0.0023946096894803927,0.003015868114257368,0.029523157823530637,1000
43,rbf,9,2.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.37667932367944834,0.7428008001159233,467.98398137982724,0.0009440523556820294,0.0028839811882925624,0.02947697962338339,1000
44,rbf,10,2.0,74501.17316609007,2.500971637558733,0.029959331490066472,0.3745442206311506,0.7530768418987253,462.9804825536874,0.0006565571826946744,0.002328352386290069,0.029433346871303917,1000
45,ZZ_full,2,0.125,103667.77834835016,3.989566735857849,0.055737211373812594,0.3322445417992815,0.3355056679619778,383.1352014297403,0.033540796571028764,0.04171918857239196,0.03464819783464569,1000
46,ZZ_full,3,0.125,103667.77834835016,3.989566735857849,0.055737211373812594,0.35642735420291216,0.4310869253046188,297.46471717329825,0.034897762468270775,0.03129996960264448,0.03140041427422272,1000
47,ZZ_full,4,0.125,103667.77834835016,3.989566735857849,0.055737211373812594,0.3273855147575222,0.4363394379117389,300.213948532186,0.03581684036219934,0.03133197810128133,0.03658478214140409,1000
48,ZZ_full,5,0.125,103667.77834835016,3.989566735857849,0.055737211373812594,0.3292542454462348,0.49714050772798535,254.04743258850704,0.0357195778318094,0.025124433729653013,0.03888431151425814,1000
49,ZZ_full,6,0.125,103667.77834835016,3.989566735857849,0.055737211373812594,0.33771365308099055,0.531148108712151,272.6829832566994,0.027234343902130358,0.022425634271086622,0.03949176509574033,1000
50,ZZ_full,7,0.125,103667.77834835016,3.989566735857849,0.055737211373812594,0.3426264763453571,0.5606611376375537,269.63740585444634,0.0374702773293501,0.01879893402005055,0.03945758913502515,1000
51,ZZ_full,8,0.125,103667.77834835016,3.989566735857849,0.055737211373812594,0.33349212534846345,0.5391722527971989,457.74670251759244,0.03824826544816801,0.021894991710563128,0.03906102180499431,1000
52,ZZ_full,9,0.125,103667.77834835016,3.989566735857849,0.055737211373812594,0.3516335749508684,0.5629005904907605,383.4167206115733,0.04151741875555179,0.01920649379624223,0.039186769815348695,1000
53,ZZ_full,10,0.125,103667.77834835016,3.989566735857849,0.055737211373812594,0.36248288958695796,0.6081962103753682,457.41252085606476,0.03218447661777643,0.014994548643440558,0.0391413553906123,1000
54,ZZ_full,2,0.25,76119.25246182286,4.419814793209927,0.03975697556115773,0.17211883080228768,0.17330234970449188,58.5840503026313,0.03803827002016708,0.041938940458612836,0.01868136788721633,1000
55,ZZ_full,3,0.25,76119.25246182286,4.419814793209927,0.03975697556115773,0.209121921867098,0.22895237412543124,121.12636492608782,0.03186648229544844,0.045541335230028686,0.0189744006423811,1000
56,ZZ_full,4,0.25,76119.25246182286,4.419814793209927,0.03975697556115773,0.22667458544681235,0.27837813858451477,172.45138934719728,0.04800935768539039,0.046550677931584475,0.01905316301122961,1000
